CDA,21847,6,14.53
VVD,20303,6,13.51
Staatkundig Gereformeerde Partij (SGP),19629,6,13.06
SP (Socialistische Partij),16262,4,10.82
PVV (Partij voor de Vrijheid),15434,4,10.27
Partij van de Arbeid (P.v.d.A.),14189,4,9.44
Democraten 66 (D66),10403,3,6.92
ChristenUnie,8607,2,5.73
Zeeland Lokaal,5815,1,3.87
PARTIJ VOOR ZEELAND (PVZ),5787,1,3.85
GROENLINKS,5198,1,3.46
50PLUS,4457,1,2.97
Provinciaal Belang Zeeland,2388,0,1.59
totaal,150319,39,100
