CDA,55017,9,20.79
Partij van de Arbeid (P.v.d.A.),40984,7,15.49
VVD,29085,5,10.99
SP (Socialistische Partij),28930,5,10.93
FNP,25027,4,9.46
PVV (Partij voor de Vrijheid),23112,4,8.73
ChristenUnie,19669,3,7.43
Democraten 66 (D66),18454,3,6.97
GROENLINKS,9393,1,3.55
Partij voor de Dieren,6806,1,2.57
50PLUS,6372,1,2.41
Friese Koers,1001,0,0.38
Libertarische Partij (LP),408,0,0.15
Verenigd Links-Feriene Lofts,347,0,0.13
totaal,264605,43,100
