20150101,-1
20150102,43
20150103,15
20150104,-1
20150105,0
20150106,18
20150107,12
20150108,176
20150109,85
20150110,34
20150111,14
20150112,19
20150113,140
20150114,19
20150115,80
20150116,17
20150117,0
20150118,47
20150119,-1
20150120,0
20150121,0
20150122,0
20150123,0
20150124,86
20150125,3
20150126,31
20150127,1
20150128,82
20150129,150
20150130,83
20150131,2
20150201,21
20150202,55
20150203,1
20150204,-1
20150205,9
20150206,0
20150207,-1
20150208,0
20150209,3
20150210,2
20150211,0
20150212,0
20150213,0
20150214,0
20150215,0
20150216,0
20150217,1
20150218,0
20150219,0
20150220,200
20150221,94
20150222,22
20150223,28
20150224,73
20150225,28
20150226,70
20150227,0
20150228,-1
20150301,51
20150302,24
20150303,20
20150304,3
20150305,0
20150306,0
20150307,0
20150308,-1
20150309,-1
20150310,2
20150311,0
20150312,0
20150313,0
20150314,2
20150315,1
20150316,0
20150317,0
20150318,0
20150319,0
20150320,0
20150321,22
20150322,0
20150323,0
20150324,3
20150325,72
20150326,41
20150327,17
20150328,33
20150329,162
20150330,54
20150331,90
20150401,40
20150402,47
20150403,0
20150404,19
20150405,0
20150406,-1
20150407,0
20150408,0
20150409,0
20150410,0
20150411,41
20150412,1
20150413,-1
20150414,0
20150415,0
20150416,0
20150417,0
20150418,0
20150419,0
20150420,0
20150421,0
20150422,0
20150423,0
20150424,0
20150425,37
20150426,7
20150427,0
20150428,1
20150429,16
20150430,0
20150501,0
20150502,0
20150503,16
20150504,38
20150505,92
20150506,50
20150507,11
20150508,1
20150509,39
20150510,0
20150511,0
20150512,0
20150513,0
20150514,0
20150515,0
20150516,17
20150517,0
20150518,21
20150519,22
20150520,2
20150521,0
20150522,0
20150523,20
20150524,8
20150525,5
20150526,0
20150527,0
20150528,7
20150529,31
20150530,-1
20150531,83
20150601,0
20150602,28
20150603,-1
20150604,0
20150605,80
20150606,-1
20150607,0
20150608,0
20150609,0
20150610,0
20150611,0
20150612,-1
20150613,4
20150614,0
20150615,0
20150616,0
20150617,26
20150618,2
20150619,40
20150620,-1
20150621,101
20150622,42
20150623,5
20150624,0
20150625,0
20150626,0
20150627,-1
20150628,-1
20150629,0
20150630,0
20150701,0
20150702,69
20150703,0
20150704,0
20150705,0
20150706,0
20150707,-1
20150708,113
20150709,18
20150710,0
20150711,0
20150712,14
20150713,44
20150714,29
20150715,23
20150716,-1
20150717,41
20150718,0
20150719,97
20150720,5
20150721,-1
20150722,0
20150723,0
20150724,5
20150725,148
20150726,35
20150727,123
20150728,100
20150729,41
20150730,11
20150731,0
20150801,0
20150802,0
20150803,0
20150804,19
20150805,0
20150806,0
20150807,0
20150808,0
20150809,-1
20150810,0
20150811,0
20150812,-1
20150813,111
20150814,53
20150815,85
20150816,110
20150817,136
20150818,12
20150819,-1
20150820,0
20150821,-1
20150822,0
20150823,85
20150824,24
20150825,116
20150826,129
20150827,50
20150828,1
20150829,38
20150830,101
20150831,73
20150901,-1
20150902,3
20150903,3
20150904,411
20150905,35
20150906,10
20150907,10
20150908,0
20150909,0
20150910,0
20150911,0
20150912,15
20150913,-1
20150914,125
20150915,10
20150916,58
20150917,91
20150918,0
20150919,10
20150920,0
20150921,15
20150922,13
20150923,55
20150924,21
20150925,-1
20150926,0
20150927,0
20150928,0
20150929,0
20150930,0
20151001,0
20151002,0
20151003,0
20151004,0
20151005,6
20151006,63
20151007,27
20151008,2
20151009,0
20151010,0
20151011,0
20151012,0
20151013,0
20151014,28
20151015,74
20151016,59
20151017,14
20151018,-1
20151019,0
20151020,7
20151021,18
20151022,22
20151023,0
20151024,5
20151025,2
20151026,0
20151027,0
20151028,-1
20151029,0
20151030,0
20151031,0
20151101,0
20151102,0
20151103,0
20151104,-1
20151105,56
20151106,32
20151107,15
20151108,4
20151109,54
20151110,44
20151111,19
20151112,0
20151113,35
20151114,72
20151115,133
20151116,33
20151117,163
20151118,6
20151119,66
20151120,46
20151121,102
20151122,1
20151123,0
20151124,83
20151125,79
20151126,3
20151127,7
20151128,83
20151129,126
20151130,220
20151201,8
20151202,0
20151203,0
20151204,60
20151205,0
20151206,7
20151207,6
20151208,31
20151209,0
20151210,1
20151211,107
20151212,24
20151213,24
20151214,0
20151215,-1
20151216,45
20151217,1
20151218,2
20151219,1
20151220,2
20151221,43
20151222,13
20151223,4
20151224,13
20151225,10
20151226,0
20151227,-1
20151228,0
20151229,0
20151230,0
20151231,17
